number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_embedding_dimension,params_learning_rate,params_window_size,state
37,0.20796847343444824,2023-12-07 07:52:31.112218,2023-12-07 08:26:47.383104,0 days 00:34:16.270886,256,0.1,256,0.02119336158876659,10,COMPLETE
38,0.28367993235588074,2023-12-07 08:26:47.386098,2023-12-07 08:49:36.838285,0 days 00:22:49.452187,256,0.15000000000000002,256,0.04860160098819423,5,COMPLETE
39,0.062266480177640915,2023-12-07 08:49:36.841284,2023-12-07 09:09:48.129508,0 days 00:20:11.288224,4096,0.15000000000000002,32,0.025389384930428888,5,COMPLETE
40,0.20500528812408447,2023-12-07 09:09:48.135505,2023-12-07 09:34:33.347694,0 days 00:24:45.212189,256,0.05,64,0.05663098829186866,5,COMPLETE
41,0.2488602250814438,2023-12-07 09:34:33.349692,2023-12-07 10:04:08.582698,0 days 00:29:35.233006,256,0.1,256,0.047600488259356866,7,COMPLETE
42,0.2714778184890747,2023-12-07 10:04:08.584698,2023-12-07 10:35:53.635792,0 days 00:31:45.051094,256,0.0,256,0.09674029488386075,7,COMPLETE
43,0.245858296751976,2023-12-07 10:35:53.638572,2023-12-07 11:09:57.470926,0 days 00:34:03.832354,256,0.15000000000000002,256,0.031241644878902044,5,COMPLETE
44,0.2590353190898895,2023-12-07 11:09:57.476922,2023-12-07 11:35:34.981873,0 days 00:25:37.504951,256,0.1,256,0.05953931504574247,9,COMPLETE
45,0.21159321069717407,2023-12-07 11:35:34.982852,2023-12-07 12:46:44.991737,0 days 01:11:10.008885,256,0.05,512,0.016616070598016213,11,COMPLETE
46,0.316192090511322,2023-12-07 12:46:45.010977,2023-12-07 13:09:12.130360,0 days 00:22:27.119383,256,0.25,256,0.06258085768442055,6,COMPLETE
47,0.16382835805416107,2023-12-07 13:09:12.131357,2023-12-07 13:36:02.469030,0 days 00:26:50.337673,256,0.25,32,0.0661464695454943,6,COMPLETE
48,0.07596030086278915,2023-12-07 13:36:02.493059,2023-12-07 13:51:11.326515,0 days 00:15:08.833456,256,0.2,64,0.02217262658073085,8,COMPLETE
49,0.2947655916213989,2023-12-07 13:51:11.327507,2023-12-07 14:14:29.690376,0 days 00:23:18.362869,256,0.15000000000000002,256,0.09612145478087826,5,COMPLETE
